ambulance siren,1050,vehicle
basketball bounce,1050,sports
"bird chirping, tweeting",1050,animals
chainsawing trees,1050,vehicle
chicken crowing,1050,animals
"child speech, kid speaking",1050,people
driving buses,1050,vehicle
driving motorcycle,1050,vehicle
"engine accelerating, revving, vroom",1050,vehicle
female singing,1050,people
"female speech, woman speaking",1050,people
fireworks banging,1050,others
helicopter,1050,vehicle
male singing,1050,people
"male speech, man speaking",1050,people
"motorboat, speedboat acceleration",1050,sports
orchestra,1050,music
people booing,1050,people
people crowd,1050,people
"pigeon, dove cooing",1050,animals
playing accordion,1050,music
playing acoustic guitar,1050,music
playing banjo,1050,music
playing bass guitar,1050,music
playing bassoon,1050,music
playing cello,1050,music
playing cymbal,1050,music
playing didgeridoo,1050,music
playing drum kit,1050,music
playing electric guitar,1050,music
playing flute,1050,music
playing harp,1050,music
"playing marimba, xylophone",1050,music
playing piano,1050,music
playing saxophone,1050,music
playing trombone,1050,music
"playing violin, fiddle",1050,music
police car (siren),1050,vehicle
"race car, auto racing",1050,vehicle
"railroad car, train wagon",1050,vehicle
"rowboat, canoe, kayak rowing",1050,sports
singing bowl,1050,music
tap dancing,1050,sports
toilet flushing,1050,home
"vehicle horn, car horn, honking",1050,vehicle
people burping,1049,people
playing clarinet,1049,music
playing hammond organ,1049,music
playing squash,1049,sports
playing table tennis,1049,sports
playing tabla,1048,music
playing glockenspiel,1046,music
playing harpsichord,1022,music
frog croaking,1018,animals
vacuum cleaner cleaning floors,1009,home
playing theremin,1007,music
playing badminton,1000,sports
slot machine,1000,others
"subway, metro, underground",1000,vehicle
beat boxing,998,people
child singing,994,people
crow cawing,993,animals
playing volleyball,991,sports
car engine knocking,990,vehicle
playing snare drum,987,music
machine gun shooting,986,others
ocean burbling,983,nature
skiing,980,sports
civil defense siren,979,others
missile launch,974,others
playing erhu,971,music
tractor digging,970,vehicle
bowling impact,969,sports
rope skipping,967,sports
airplane flyby,964,vehicle
lions roaring,964,animals
scuba diving,963,sports
yodelling,961,people
playing bagpipes,960,music
fire truck siren,958,vehicle
police radio chatter,958,tools
pheasant crowing,937,animals
arc welding,934,tools
dog howling,929,animals
"playing steel guitar, slide guitar",929,music
wind noise,922,nature
playing bongo,920,music
skateboarding,914,sports
playing synthesizer,909,music
"electric shaver, electric razor shaving",908,home
playing ukulele,907,music
skidding,906,vehicle
cap gun shooting,904,others
people clapping,903,people
playing cornet,893,music
people sniggering,891,people
playing vibraphone,885,music
mynah bird singing,884,animals
people whistling,883,people
horse clip-clop,882,animals
baby laughter,881,people
printer printing,881,others
playing french horn,865,music
playing bass drum,863,music
cat purring,861,animals
playing sitar,860,music
lathe spinning,859,others
lawn mowing,858,vehicle
lighting firecrackers,854,others
volcano explosion,842,nature
playing electronic organ,839,music
playing trumpet,835,music
dog growling,826,animals
playing harmonica,824,music
playing mandolin,824,music
people marching,817,people
planing timber,816,tools
playing tambourine,811,music
playing double bass,810,music
church bell ringing,807,music
gibbon howling,792,animals
goose honking,788,animals
tapping guitar,780,music
sharpen knife,776,tools
train horning,771,vehicle
dog barking,767,animals
singing choir,762,people
"heart sounds, heartbeat",756,people
owl hooting,753,animals
people whispering,747,people
typing on typewriter,745,others
woodpecker pecking tree,745,animals
cattle mooing,735,animals
people screaming,731,people
hail,718,nature
canary calling,717,animals
people cheering,704,people
cricket chirping,702,animals
stream burbling,690,nature
people sneezing,688,people
wood thrush calling,681,animals
roller coaster running,678,sports
"ice cream truck, ice cream van",676,vehicle
people shuffling,675,people
baby crying,667,people
mouse clicking,660,others
francolin calling,651,animals
turkey gobbling,646,animals
"cattle, bovinae cowbell",644,animals
rapping,638,people
dinosaurs bellowing,633,animals
playing timpani,629,music
dog bow-wow,628,animals
using sewing machines,626,others
chicken clucking,625,animals
splashing water,618,others
hammering nails,613,tools
train whistling,608,vehicle
driving snowmobile,603,vehicle
duck quacking,602,animals
lions growling,599,animals
baby babbling,598,people
car passing by,595,vehicle
parrot talking,593,animals
sailing,592,sports
cat meowing,588,animals
horse neighing,587,animals
people babbling,587,people
playing timbales,587,music
sliding door,587,home
swimming,566,sports
wind rustling leaves,563,nature
people slurping,562,people
typing on computer keyboard,561,others
people eating noodle,560,people
ripping paper,560,others
elk bugling,557,animals
playing gong,557,music
playing darts,555,sports
people farting,554,people
"bee, wasp, etc. buzzing",551,animals
playing oboe,546,music
playing zither,538,music
eating with cutlery,528,home
bouncing on trampoline,526,sports
people belly laughing,517,people
sheep bleating,515,animals
waterfall burbling,514,nature
airplane,506,vehicle
playing steelpan,504,music
fire crackling,492,nature
car engine starting,491,vehicle
coyote howling,490,animals
reversing beeps,487,vehicle
people sobbing,481,people
playing guiro,477,music
chimpanzee pant-hooting,473,animals
raining,473,nature
playing congas,465,music
playing tympani,463,music
dog whimpering,461,animals
opening or closing car doors,459,vehicle
opening or closing drawers,458,home
people coughing,453,people
black capped chickadee calling,446,animals
pig oinking,444,animals
people eating crisps,442,people
playing bugle,442,music
"donkey, ass braying",438,animals
mosquito buzzing,438,animals
squishing water,435,others
mouse pattering,430,animals
playing djembe,430,music
magpie calling,429,animals
electric grinder grinding,425,tools
people running,422,people
barn swallow calling,420,animals
underwater bubbling,420,people
firing muskets,417,others
dog baying,412,animals
cheetah chirrup,403,animals
playing hockey,402,sports
striking pool,401,sports
people hiccup,394,people
people humming,391,people
playing tennis,390,sports
wind chime,389,music
cat growling,387,animals
car engine idling,370,vehicle
ice cracking,365,others
otter growling,363,animals
"alligators, crocodiles hissing",361,animals
fox barking,361,animals
people eating apple,360,people
tornado roaring,356,nature
bird squawking,348,animals
hair dryer drying,343,home
firing cannon,336,others
train wheels squealing,333,vehicle
alarm clock ringing,331,others
cupboard opening or closing,330,home
striking bowling,326,sports
thunder,325,nature
bull bellowing,320,animals
cat hissing,320,animals
penguins braying,318,animals
running electric fan,318,others
elephant trumpeting,310,animals
golf driving,303,sports
people battle cry,291,people
snake hissing,285,animals
playing lacrosse,282,sports
writing on blackboard with chalk,280,tools
spraying water,278,others
sloshing water,276,others
people giggling,273,people
cutting hair with electric trimmers,268,tools
lip smacking,265,people
forging swords,264,tools
plastic bottle crushing,264,others
warbler chirping,264,animals
chipmunk chirping,261,animals
bird wings flapping,258,animals
chopping wood,254,others
popping popcorn,253,others
eagle screaming,252,animals
footsteps on snow,251,people
hedge trimmer running,251,tools
blowtorch igniting,250,tools
sea waves,250,sports
goat bleating,246,animals
air conditioning noise,245,others
mouse squeaking,240,animals
ferret dooking,239,animals
cat caterwauling,237,animals
strike lighter,229,others
people nose blowing,228,people
people eating,226,people
shot football,226,sports
people gargling,221,people
smoke detector beeping,221,others
cuckoo bird calling,218,animals
foghorn,217,others
eletric blender running,214,tools
chinchilla barking,213,animals
people slapping,211,people
sea lion barking,211,animals
opening or closing car electric windows,205,vehicle
children shouting,201,people
baltimore oriole calling,200,animals
bathroom ventilation fan running,200,home
cell phone buzzing,200,others
chopping food,200,home
disc scratching,200,music
door slamming,200,home
"fly, housefly buzzing",200,animals
metronome,200,music
people finger snapping,200,people
playing shofar,200,music
playing tuning fork,200,music
playing washboard,200,music
telephone bell ringing,200,others
whale calling,200,animals
cow lowing,199,animals
playing castanets,199,music
pumping water,199,others
snake rattling,199,animals
zebra braying,199,animals
air horn,197,vehicle